SCName,SC NO,SC Value,CoverageType,ÊÇ·ñ8TX,softwareVersion
ulGainOuterLoopAdjustmentInit,83,-40,,,
ulOuterLoopStepSize,145,3,,,
dlOuterLoopStepSize,160,3,,,
ueReleaseWindowSize,195,400,HighLoad,,
procThreshold,508,1000,,,
longProcRatio,509,75,HighLoad,,
tm7Tm3EvaluationPeriod,633,2000,,8TX,
tm7Tm3SwitchingThreshold,634,-30,HighLoad,8TX,
tm7Tm3ForgettingFactor,636,100,,8TX,
nnsfNodeTypeAgnostic,1124,1,,,
maxArqRetxRrcReleaseDl,1198,2,HighLoad,,
outOfCoverageThreshold,1208,20,HighLoad,,
outOfCoverageGrantingBehavior,1211,3,HighLoad,,
adaptiveCfiHoProhibit,1308,1,,,
mixedTxEnabled,1365,1,,,
tm3TwoCwLaThreshold,1366,1,,,
pdcchUlTargetSelectedCand,1369,3,HighLoad,,
pdcchDlTargetSelectedCand,1370,3,HighLoad,,
srProcessingLevel,1472,1,,,
srDetectionHighThreshold,1473,55,,,
blerTargetScalingEnabled ,1616,0,,,
maxNrOfPucchPrbsPerTtiAndBbm8RxTdd2,1679,72,,8TX,
pZeroPucchDelta,1759,9,HighInterference,,
pZeroPuschDelta,1760,16,HighInterference,,
